Name,Artist,Album,Popularity,Lyrics,Title,Additional_Info,Preprocessed_Lyrics,Genre
Imagine - Remastered 2010,John Lennon,Imagine,79," imagine there's no heaven it's easy if you try no hell below us above us, only sky imagine all the people living for today i   imagine there's no countries it isn't hard to do nothing to kill or die for and no religion too imagine all the people living life in peace you   you may say i'm a dreamer but i'm not the only one i hope someday you'll join us and the world will be as one   imagine no possessions i wonder if you can no need for greed or hunger a brotherhood of man imagine all the people sharing all the world you you might also like you may say i'm a dreamer but i'm not the only one i hope someday you'll join us and the world will live as oneembed",Imagine , Remastered 2010,"imagine 's heaven 's easy try hell u u , sky imagine people living today imagine 's country n't hard nothing kill die religion imagine people living life peace may say 'm dreamer 'm one hope someday 'll join u world one imagine possession wonder need greed hunger brotherhood man imagine people sharing world might also like may say 'm dreamer 'm one hope someday 'll join u world live oneembed",Pop
A Whiter Shade Of Pale,Procol Harum,A Whiter Shade Of Pale,0,"   we skipped the light fandango turned cartwheels 'cross the floor i was feeling kinda seasick but the crowd called out for more the room was humming harder as the ceiling flew away when we called out for another drink the waiter brought a tray   and so it was that later as the miller told his tale that her face, at first just ghostly turned a whiter shade of pale     she said, there is no reason and the truth is plain to see but i wandered through my playing cards and would not let her be one of sixteen vestal virgins who were leaving for the coast and although my eyes were open they might have just as well've been closed you might also like and so it was that later as the miller told his tale that her face at first just ghostly turned a whiter shade of pale     she said, 'i'm home on shore leave,' though in truth we were at sea so i took her by the looking glass and forced her to agree saying, 'you must be the mermaid who took neptune for a ride.' but she smiled at me so sadly that my anger straightway died   and so it was that later as the miller told his tale that her face at first just ghostly turned a whiter shade of pale  if music be the food of love then laughter is its queen and likewise if behind is in front then dirt in truth is clean my mouth by then like cardboard seemed to slip straight through my head so we crash-dived straightway quickly and attacked the ocean bed  and so it was that later as the miller told his tale that her face at first just ghostly turned a whiter shade of paleembed",A Whiter Shade Of Pale,,"skipped light fandango turned cartwheel 'cross floor feeling kinda seasick crowd called room humming harder ceiling flew away called another drink waiter brought tray later miller told tale face , first ghostly turned whiter shade pale said , reason truth plain see wandered playing card would let one sixteen vestal virgin leaving coast although eye open might well 've closed might also like later miller told tale face first ghostly turned whiter shade pale said , ' 'm home shore leave , ' though truth sea took looking glass forced agree saying , 'you must mermaid took neptune ride . ' smiled sadly anger straightway died later miller told tale face first ghostly turned whiter shade pale music food love laughter queen likewise behind front dirt truth clean mouth like cardboard seemed slip straight head crash-dived straightway quickly attacked ocean bed later miller told tale face first ghostly turned whiter shade paleembed",Rock
God Only Knows - Mono,The Beach Boys,Pet Sounds (Original Mono & Stereo Mix),67," i may not always love you but long as there are stars above you you never need to doubt it i'll make you so sure about it   god only knows what i'd be without you   if you should ever leave me well, life would still go on, believe me the world could show nothing to me so what good would living do me?   god only knows what i'd be without you   ooh, ooh do, do, do, do, do, do, do bow, buh-bow, buh-bow, buh-bow (do, do, do, do) buh-bow, buh-bow, buh-bow (do, do, do, do, do, do) buh-bow, buh-bow, buh-bow, buh-bow (do, do, do, do, do, do, do, do)   god only knows what i'd be without you you might also like if you should ever leave me well, life would still go on, believe me the world could show nothing to me so what good would living do me?   god only knows what i'd be without you  god only knows what i'd be without you god only knows what i'd be without you god only knows what i'd be without you (what i'd be) god only knows what i'd be without you (god only knows) god only knows what i'd be without you (what i'd be) god only knows what i'd be without you (god only knows) god only knows what i'd be without you (what i'd be) god only knows what i'd be without you (god only knows) god only knows what i'd be without you (what i'd be) god only knows what i'd be without you (god only knows) god only knows what i'd be without you (what i'd be) god only knows what i'd be without you (god only knows)embed",God Only Knows , Mono,"may always love long star never need doubt 'll make sure god know 'd without ever leave well , life would still go , believe world could show nothing good would living ? god know 'd without ooh , ooh , , , , , , bow , buh-bow , buh-bow , buh-bow ( , , , ) buh-bow , buh-bow , buh-bow ( , , , , , ) buh-bow , buh-bow , buh-bow , buh-bow ( , , , , , , , ) god know 'd without might also like ever leave well , life would still go , believe world could show nothing good would living ? god know 'd without god know 'd without god know 'd without god know 'd without ( 'd ) god know 'd without ( god know ) god know 'd without ( 'd ) god know 'd without ( god know ) god know 'd without ( 'd ) god know 'd without ( god know ) god know 'd without ( 'd ) god know 'd without ( god know ) god know 'd without ( 'd ) god know 'd without ( god know ) embed",Pop
Bridge Over Troubled Water,Simon & Garfunkel,Bridge Over Troubled Water,72," when you're weary feeling small when tears are in your eyes i will dry them all i'm on your side oh, when times get rough and friends just can't be found   like a bridge over troubled water i will lay me down like a bridge over troubled water i will lay me down   when you're down and out when you're on the street when evening falls so hard i will comfort you i'll take your part oh, when darkness comes and pain is all around   like a bridge over troubled water i will lay me down like a bridge over troubled water i will lay me down you might also like sail on silver girl sail on by your time has come to shine all your dreams are on their way see how they shine oh, if you need a friend i'm sailing right behind   like a bridge over troubled water i will ease your mind like a bridge over troubled water i will ease your mindembed",Bridge Over Troubled Water,,"'re weary feeling small tear eye dry 'm side oh , time get rough friend ca n't found like bridge troubled water lay like bridge troubled water lay 're 're street evening fall hard comfort 'll take part oh , darkness come pain around like bridge troubled water lay like bridge troubled water lay might also like sail silver girl sail time come shine dream way see shine oh , need friend 'm sailing right behind like bridge troubled water ease mind like bridge troubled water ease mindembed",Pop
Stairway to Heaven - Remaster,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),80,"   there's a lady who's sure all that glitters is gold and she's buying a stairway to heaven when she gets there she knows, if the stores are all closed with a word she can get what she came for ooh, ooh, and she's buying a stairway to heaven there's a sign on the wall, but she wants to be sure 'cause you know sometimes words have two meanings in a tree by the brook, there's a songbird who sings sometimes all of our thoughts are misgiven   ooh, it makes me wonder ooh, makes me wonder   there's a feeling i get when i look to the west and my spirit is crying for leaving in my thoughts i have seen rings of smoke through the trees and the voices of those who stand looking   ooh, it makes me wonder ooh, really makes me wonder you might also like and it's whispered that soon if we all call the tune then the piper will lead us to reason and a new day will dawn for those who stand long and the forests will echo with laughter   oh-oh-oh-oh-woahhh   if there's a bustle in your hedgerow, don't be alarmed now it's just a spring clean for the may queen yes, there are two paths you can go by, but in the long run there's still time to change the road you're on   and it makes me wonder ohh, woah   your head is humming, and it won't go, in case you don't know the piper's calling you to join him dear lady, can you hear the wind blow? and did you know your stairway lies on the whispering wind?   and as we wind on down the road our shadows taller than our soul there walks a lady we all know who shines white light and wants to show how everything still turns to gold and if you listen very hard the tune will come to you at last when all are one, and one is all to be a rock and not to roll   and she's buying a stairway to heavenembed",Stairway to Heaven , Remaster,"'s lady 's sure glitter gold 's buying stairway heaven get know , store closed word get came ooh , ooh , 's buying stairway heaven 's sign wall , want sure 'cause know sometimes word two meaning tree brook , 's songbird sings sometimes thought misgiven ooh , make wonder ooh , make wonder 's feeling get look west spirit cry leaving thought seen ring smoke tree voice stand looking ooh , make wonder ooh , really make wonder might also like 's whispered soon call tune piper lead u reason new day dawn stand long forest echo laughter oh-oh-oh-oh-woahhh 's bustle hedgerow , n't alarmed 's spring clean may queen yes , two path go , long run 's still time change road 're make wonder ohh , woah head humming , wo n't go , case n't know piper 's calling join dear lady , hear wind blow ? know stairway lie whispering wind ? wind road shadow taller soul walk lady know shine white light want show everything still turn gold listen hard tune come last one , one rock roll 's buying stairway heavenembed",Rock
All Along the Watchtower,Jimi Hendrix,Electric Ladyland,77," ""there must be some kind of way out of here"" said the joker to the thief ""there's too much confusion i can't get no relief businessmen they drink my wine plowmen dig my earth none will level on the line nobody offered his word"" hey!   ""no reason to get excited"" the thief, he kindly spoke ""there are many here among us who feel that life is but a joke but, uh, but you and i, we've been through that and this is not our fate so let us stop talkin' falsely now the hour's getting late hey!    hey! you might also like all along the watchtower princes kept the view while all the women came and went barefoot servants too well, uh, outside in the cold distance a wildcat did growl two riders were approaching and the wind began to howl hey!   all along the watchtower all along the watchtowerembed",All Along the Watchtower,,"`` must kind way '' said joker thief `` 's much confusion ca n't get relief businessmen drink wine plowman dig earth none level line nobody offered word '' hey ! `` reason get excited '' thief , kindly spoke `` many among u feel life joke , uh , , 've fate let u stop talkin ' falsely hour 's getting late hey ! hey ! might also like along watchtower prince kept view woman came went barefoot servant well , uh , outside cold distance wildcat growl two rider approaching wind began howl hey ! along watchtower along watchtowerembed",Non Music
“Heroes” - Single Version; 2014 Remaster,David Bowie,"Legacy (The Very Best Of David Bowie, Deluxe)",17," i, i will be king and you, you will be queen   though nothing will drive them away we can beat them, just for one day we can be heroes, just for one day   and you, you can be mean and i, i'll drink all the time 'cause we're lovers, and that is a fact yes, we're lovers, and that is that   though nothing will keep us together we could steal time, just for one day we can be heroes, forever and ever what d'you say?  i, i wish you could swim like the dolphins, like dolphins can swim   though nothing, nothing will keep us together we can beat them forever and ever oh, we can be heroes, just for one day you might also like i, i will be king and you, you will be queen   though nothing will drive them away we can be heroes, just for one day we can be us, just for one day  i, i can remember (i remember) standing by the wall (by the wall) and the guns shot above our heads (over our heads) and we kissed as though nothing could fall (nothing could fall)   and the shame was on the other side oh, we can beat them forever and ever then we can be heroes, just for one day   we can be heroes we can be heroes we can be heroes, just for one day we can be heroes  we are nothing, and nothing will help us maybe we're lying, then you better not stay but we could be safer, just for one day oh-oh-oh-oh, oh-oh-oh-oh, just for one dayembed",“Heroes” , Single Version; 2014 Remaster,", king , queen though nothing drive away beat , one day hero , one day , mean , 'll drink time 'cause 're lover , fact yes , 're lover , though nothing keep u together could steal time , one day hero , forever ever d'you say ? , wish could swim like dolphin , like dolphin swim though nothing , nothing keep u together beat forever ever oh , hero , one day might also like , king , queen though nothing drive away hero , one day u , one day , remember ( remember ) standing wall ( wall ) gun shot head ( head ) kissed though nothing could fall ( nothing could fall ) shame side oh , beat forever ever hero , one day hero hero hero , one day hero nothing , nothing help u maybe 're lying , better stay could safer , one day oh-oh-oh-oh , oh-oh-oh-oh , one dayembed",Rock
In the Ghetto,Elvis Presley,Elvis 30 #1 Hits,52," as the snow flies on a cold and gray chicago mornin' a poor little baby child is born in the ghetto (in the ghetto) and his mama cries 'cause if there's one thing that she don't need it's another hungry mouth to feed in the ghetto (in the ghetto)   people, don't you understand a child needs a helping hand or he'll grow to be an angry young man some day take a look at you and me are we too blind to see do we simply turn our heads and look the other way?   well, the world turns and a hungry little boy with a runny nose plays in the street as the cold wind blows in the ghetto (in the ghetto) and his hunger burns so he starts to roam the streets at night and he learns how to steal and he learns how to fight in the ghetto (in the ghetto) you might also like then one night in desperation the young man breaks away he buys a gun, he steals a car tries to run, but he don't get far   and his mama cries as a crowd gathers 'round an angry young man facedown on the street with a gun in his hand in the ghetto (in the ghetto) and as her young man dies (in the ghetto) on a cold and gray chicago mornin' another little baby child is born in the ghetto (in the ghetto)   and his mama cries in the ghetto (in the ghetto) (in the ghetto)embed",In the Ghetto,,"snow fly cold gray chicago mornin ' poor little baby child born ghetto ( ghetto ) mama cry 'cause 's one thing n't need 's another hungry mouth feed ghetto ( ghetto ) people , n't understand child need helping hand 'll grow angry young man day take look blind see simply turn head look way ? well , world turn hungry little boy runny nose play street cold wind blow ghetto ( ghetto ) hunger burn start roam street night learns steal learns fight ghetto ( ghetto ) might also like one night desperation young man break away buy gun , steal car try run , n't get far mama cry crowd gather 'round angry young man facedown street gun hand ghetto ( ghetto ) young man dy ( ghetto ) cold gray chicago mornin ' another little baby child born ghetto ( ghetto ) mama cry ghetto ( ghetto ) ( ghetto ) embed",Country
Johnny B. Goode - Single Version,Chuck Berry,The Definitive Collection,0," deep down in louisiana close to new orleans way back up in the woods among the evergreens there stood a log cabin made of earth and wood where lived a country boy named johnny b. goode who never ever learned to read or write so well but he could play a guitar just like a ringing a bell   go, go go, johnny, go, go go, johnny, go, go go, johnny, go, go go, johnny, go, go johnny b. goode   he used to carry his guitar in a gunny sack go sit beneath the tree by the railroad track oh, the engineers would see him sitting in the shade strumming with the rhythm that the drivers made people passing by, they would stop and say ""oh my, but that little country boy could play,""   go, go go, johnny, go, go go, johnny, go, go go, johnny, go, go go, johnny, go, go johnny b. goode you might also like his mother told him ""someday you will be a man and you will be the leader of a big ol' band many people coming from miles around to hear you play your music when the sun go down maybe someday your name will be in lights saying 'johnny b. goode tonight',""   go, go go, johnny, go, go go, johnny, go, go go, johnny, go, go oh, go, johnny, go, go go, johnny b. goodeembed",Johnny B. Goode , Single Version,"deep louisiana close new orleans way back wood among evergreen stood log cabin made earth wood lived country boy named johnny b. goode never ever learned read write well could play guitar like ringing bell go , go go , johnny , go , go go , johnny , go , go go , johnny , go , go go , johnny , go , go johnny b. goode used carry guitar gunny sack go sit beneath tree railroad track oh , engineer would see sitting shade strumming rhythm driver made people passing , would stop say `` oh , little country boy could play , '' go , go go , johnny , go , go go , johnny , go , go go , johnny , go , go go , johnny , go , go johnny b. goode might also like mother told `` someday man leader big ol ' band many people coming mile around hear play music sun go maybe someday name light saying 'johnny b. goode tonight ' , '' go , go go , johnny , go , go go , johnny , go , go go , johnny , go , go oh , go , johnny , go , go go , johnny b. goodeembed",Rock
Alive,Pearl Jam,Ten,77," ""son,"" she said, ""have i got a little story for you what you thought was your daddy was nothing but a... while you were sittin' home alone at age thirteen your real daddy was dyin' sorry you didn't see him, but i'm glad we talked""  oh, i, oh i'm still alive hey, i, oh i'm still alive hey, i, oh i'm still alive hey, oh   while she walks slowly across a young man's room she said, ""i'm ready for you"" why, i can't remember anything to this very day 'cept the look, the look oh, you know where, now i can't see, i just stare  i, i'm still alive hey, i, oh, i'm still alive hey, i, oh, i'm still alive hey, i, oh, i'm still alive, yeah you might also like ooh yeah, yeah, yeah, yeah, oh, ooh   ""there's something wrong"", she said, well of course there is ""you're still alive,"" she said, oh, and do i deserve to be? is that the question? and if so, if so who answers? who answers?  i, oh i'm still alive hey, i, oh i'm still alive yeah, i, oh i'm still alive yeah, i, ooh, i'm still alive! yeah yeah yeah yeah yeah yeah yeah!  ooh yeah, ooh ooh ooh yeah, yeah yeah yeahembed",Alive,,"`` son , '' said , `` got little story thought daddy nothing ... sittin ' home alone age thirteen real daddy dyin ' sorry n't see , 'm glad talked '' oh , , oh 'm still alive hey , , oh 'm still alive hey , , oh 'm still alive hey , oh walk slowly across young man 's room said , `` 'm ready '' , ca n't remember anything day 'cept look , look oh , know , ca n't see , stare , 'm still alive hey , , oh , 'm still alive hey , , oh , 'm still alive hey , , oh , 'm still alive , yeah might also like ooh yeah , yeah , yeah , yeah , oh , ooh `` 's something wrong '' , said , well course `` 're still alive , '' said , oh , deserve ? question ? , answer ? answer ? , oh 'm still alive hey , , oh 'm still alive yeah , , oh 'm still alive yeah , , ooh , 'm still alive ! yeah yeah yeah yeah yeah yeah yeah ! ooh yeah , ooh ooh ooh yeah , yeah yeah yeahembed",Rock
